,area_type,location,size,total_sqft,bath,balcony,price
143,Super,ISRO Layout,2 BHK,1000.0,2.0,1.0,4944.0
144,Super,Anandapura,2 BHK,1167.0,2.0,1.0,3605.824
145,Super,Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,18540.0
146,Super,Kothanur,3 BHK,1828.0,3.0,2.0,9064.0
147,Super,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,2884.0
148,Super,Basavanapura,3 BHK,1612.0,3.0,3.0,3851.376
149,Plot,Dinnur,6 Bedroom,1034.0,5.0,2.0,15244.000000000002
150,Super,Mysore Road,3 BHK,1710.0,4.0,2.0,7523.944
151,Super,Kannamangala,2 BHK,957.0,2.0,1.0,4779.200000000001
152,Super, Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,3625.6000000000004
153,Super,Sanjeevini Nagar,3 BHK,2795.0,4.0,2.0,19364.0
154,Super,Hulimavu,2 BHK,1125.0,2.0,2.0,4120.0
155,Super,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,2521.4400000000005
156,Super,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,4120.0
157,Super,Thanisandra,3 BHK,1735.0,3.0,3.0,11124.0
158,Super,Thanisandra,3 BHK,2050.0,3.0,1.0,11948.0
159,Plot,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,0.0,62624.00000000001
160,Built-up,Yarandahalli,3 BHK,1350.0,2.0,3.0,3955.2000000000003
161,Super,Hosa Road,2 BHK,1063.0,2.0,1.0,2636.8
162,Super,Keshava Nagar,3 BHK,1904.0,3.0,1.0,12360.0
163,Built-up,Whitefield,4 Bedroom,4200.0,4.0,2.0,34608.0
164,Super,RMV Extension,3 BHK,2000.0,3.0,1.0,14420.000000000002
166,Super,Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,6180.0
167,Super,Electronic City,3 BHK,1500.0,2.0,1.0,5314.8
168,Built-up,Electronic City,2 BHK,1060.0,2.0,1.0,4944.0
169,Built-up,Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,5768.0
170,Super,Kothnur Narayanapura,6 BHK,1300.0,6.0,0.0,8157.6
171,Super,Attibele,1 BHK,450.0,1.0,1.0,906.4000000000001
172,Super,Electronic City,2 BHK,1152.0,2.0,1.0,5314.8
173,Super,Electronic City,3 BHK,1350.0,2.0,1.0,4614.400000000001
174,Super,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,5356.0
175,Plot,CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,2.0,8240.0
176,Plot,Kumaraswami Layout,5 Bedroom,600.0,3.0,2.0,7004.000000000001
177,Plot,Nagavara,1 Bedroom,400.0,1.0,0.0,1153.6000000000001
178,Super,Malleshwaram,1 BHK,705.0,1.0,2.0,5520.8
179,Built-up,Electronic City,2 BHK,770.0,1.0,1.0,2966.4
180,Super,Hulimavu,2 BHK,1242.0,2.0,3.0,4202.400000000001
181,Super,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,12772.0
182,Super,Thanisandra,3 BHK,2144.0,3.0,2.0,11948.0
183,Super,Vijayanagar,3 BHK,1704.0,3.0,2.0,9064.0
184,Super,Electronic City,2 BHK,1070.0,2.0,1.0,4284.8
185,Plot,8th block Koramangala,3 Bedroom,1846.0,3.0,2.0,24720.0
186,Super,Jakkuru Layout,2 BHK,1340.0,2.0,2.0,4589.68
187,Built-up,Electronic City,2 BHK,1025.0,2.0,1.0,3790.4
189,Super,Marathahalli,2 BHK,1200.0,2.0,2.0,4284.8
190,Built-up,Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,9064.0
191,Super,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,6592.0
192,Plot,Bellandur,4 Bedroom,1200.0,5.0,2.0,26780.000000000004
193,Plot,Ejipura,7 Bedroom,1800.0,7.0,1.0,20600.0
194,Super,Marathahalli,2 BHK,1200.0,2.0,2.0,4944.0
195,Super,Yelahanka,2 BHK,1327.0,2.0,2.0,8075.200000000001
196,Super,Kothanur,2 BHK,1186.0,2.0,2.0,4779.200000000001
197,Built-up,MS Pallya,3 Bedroom,1783.0,3.0,1.0,9476.0
198,Super,HSR Layout,3 BHK,1400.0,3.0,2.0,4614.400000000001
199,Super,Nagasandra,2 BHK,980.0,2.0,1.0,3955.2000000000003
200,Super,EPIP Zone,2 BHK,1285.0,2.0,2.0,6756.8
201,Super,Langford Town,3 BHK,912.0,2.0,1.0,5768.0
202,Built-up,Whitefield,2 BHK,1225.0,2.0,2.0,3922.2400000000002
203,Super,Whitefield,2 BHK,1075.0,2.0,1.0,4367.200000000001
204,Built-up,Kadugodi,3 BHK,1260.0,2.0,2.0,4449.6
205,Super,Yelahanka,3 BHK,1282.0,2.0,2.0,4012.8800000000006
206,Super,Kogilu,3 BHK,1909.0,3.0,2.0,7251.200000000001
207,Super,Panathur,2 BHK,1359.0,2.0,1.0,7168.8
208,Built-up,Nagondanahalli,2 BHK,1207.0,2.0,2.0,3584.4
209,Plot,Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,15656.000000000002
210,Super,1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,35267.200000000004
211,Super,Kammasandra,3 BHK,1595.0,3.0,2.0,5356.0
212,Built-up,"Off Sarjapur Road, ",3 BHK,1798.0,3.0,2.0,7333.6
213,Super,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,6451.096000000001
214,Super,Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,8240.0
215,Super,Dasarahalli,2 BHK,1295.0,2.0,1.0,5356.0
216,Built-up,Magadi Road,6 Bedroom,3600.0,6.0,0.0,11618.400000000001
217,Super,Electronic City,1 BHK,589.0,1.0,1.0,2224.8
218,Super,Ngef Layout,3 BHK,1415.0,3.0,3.0,6427.200000000001
219,Super,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,8099.096000000001
220,Super,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,10300.0
221,Super,Koramangala,3 BHK,1475.0,2.0,3.0,7416.000000000001
222,Built-up,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,1.0,6221.200000000001
223,Super,Sarjapur  Road,2 BHK,984.0,2.0,1.0,3648.6720000000005
225,Super,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,2.0,21424.0
226,Built-up,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,5932.8
227,Plot,Shantiniketan Layout,2 Bedroom,1500.0,2.0,1.0,9476.0
228,Super,Hebbal,3 BHK,1900.0,3.0,2.0,9805.6
229,Super,Dommasandra,2 BHK,805.0,2.0,1.0,1824.3360000000002
230,Super,Budigere,2 BHK,1153.0,2.0,2.0,4647.360000000001
231,Super,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,4944.0
232,Super,Mylasandra,2 BHK,1110.0,2.0,2.0,4532.0
233,Built-up,Electronic City,2 BHK,1100.0,2.0,2.0,3460.8
234,Super,Kalyan nagar,2 BHK,1290.0,2.0,2.0,9064.0
235,Super,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,1.0,5356.0
236,Super,Bank Of Baroda Colony,2 BHK,1080.0,2.0,2.0,3213.6000000000004
237,Super,Vijayanagar,3 BHK,1933.0,3.0,1.0,10629.6
238,Built-up,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,12360.0
239,Built-up,Kullappa Colony,2 BHK,1060.0,2.0,2.0,4944.0
240,Super,Chandapura,1 BHK,645.0,1.0,1.0,1355.48
242,Super,Chandapura,1 BHK,645.0,1.0,1.0,1355.48
243,Super,Ashwath Nagar,3 BHK,1644.0,3.0,3.0,6921.6
244,Super,Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,5974.0
245,Plot,Electronic City,3 Bedroom,1200.0,3.0,1.0,7416.000000000001
246,Super,Electronic City,2 BHK,910.0,2.0,1.0,3296.0
247,Super,Kothanur,3 BHK,1577.0,3.0,1.0,5768.0
248,Plot,Meenakunte,3 Bedroom,4050.0,3.0,2.0,23072.0
249,Super,OMBR Layout,3 BHK,2420.0,3.0,2.0,15244.000000000002
250,Super,Chandapura,2 BHK,800.0,1.0,1.0,1648.0
251,Built-up,Anand Nagar,2 BHK,1060.0,2.0,2.0,4532.0
252,Super,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,7663.200000000001
253,Super,Shree Ananth Nagar Layout,2 BHK,900.0,2.0,2.0,1854.0000000000002
254,Built-up,Kundalahalli Colony,2 Bedroom,1280.0,2.0,1.0,5685.6
255,Plot,Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,7828.000000000001
256,Built-up,Sarjapur  Road,2 BHK,1025.0,2.0,2.0,2966.4
257,Super,Electronic City,2 BHK,1108.0,2.0,1.0,5191.200000000001
258,Plot,MCECHS  layout,5 Bedroom,1200.0,5.0,2.0,14008.000000000002
259,Super,Coffee Board Layout,3 BHK,3045.0,3.0,2.0,14008.000000000002
260,Plot,Ambedkar Nagar,4 Bedroom,2900.0,3.0,2.0,24720.0
261,Super,Vijayanagar,3 BHK,1500.0,3.0,2.0,6221.200000000001
262,Super,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,3617.36
263,Super,Budigere,2 BHK,1162.0,2.0,1.0,4935.76
264,Super,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,4054.0800000000004
265,Built-up,Attibele,4 Bedroom,1600.0,4.0,0.0,4350.72
266,Super,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,3790.4
267,Super,Hennur Road,3 BHK,1866.0,2.0,2.0,5074.192
268,Super,Geleyara Balaga Layout,2 BHK,700.0,1.0,1.0,2142.4
269,Super,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,9888.0
270,Super,Sarjapur,2 BHK,913.0,2.0,1.0,2636.8
271,Super,Talaghattapura,3 BHK,1868.0,3.0,2.0,10794.400000000001
272,Built-up,Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,3708.0000000000005
273,Plot,Sundara Nagar,2 Bedroom,900.0,2.0,1.0,9064.0
274,Super,Kogilu,3 BHK,1664.0,2.0,3.0,6093.4800000000005
275,Super,Hegde Nagar,3 BHK,2026.0,3.0,2.0,10876.800000000001
276,Super,Balagere,2 BHK,1210.0,2.0,1.0,6666.160000000001
277,Plot,Meenakunte,4 Bedroom,4111.0,4.0,2.0,20600.0
278,Super,Kadugodi,3 BHK,1762.0,3.0,3.0,7535.4800000000005
279,Super,Jigani,3 BHK,1252.0,3.0,3.0,4532.0
280,Built-up,Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,2842.8
281,Built-up,7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,8240.0
282,Plot,Srirampura,6 Bedroom,1450.0,6.0,0.0,20600.0
283,Built-up,Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,6493.12
284,Super,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,3790.4
285,Super,Old Madras Road,3 BHK,1425.0,2.0,2.0,7745.6
286,Built-up,Kalena Agrahara,2 BHK,1200.0,2.0,1.0,3296.0
287,Super,Kaggadasapura,3 BHK,1280.0,2.0,2.0,4614.400000000001
288,Super,Silver Springs Layout,2 BHK,1084.0,2.0,2.0,4120.0
289,Super,Chandapura,2 BHK,1015.0,2.0,2.0,2132.512
290,Super,Kanakpura Road,2 BHK,1017.0,2.0,1.0,4223.0
291,Super,Haralur Road,2 BHK,1027.0,2.0,2.0,3625.6000000000004
292,Super,Electronic City Phase II,2 BHK,1069.0,2.0,2.0,3708.0000000000005
293,Super,Hebbal,2 BHK,1349.0,2.0,1.0,8091.680000000001
294,Super,9th Phase JP Nagar,2 BHK,1005.0,2.0,1.0,4120.0
295,Super,Jakkur,2 BHK,1417.0,2.0,3.0,6180.0
296,Plot,TC Palaya,3 Bedroom,1475.0,3.0,1.0,8075.200000000001
297,Carpet,Maruthi Sevanagar,2 BHK,950.0,2.0,2.0,3872.8
298,Super,RMV 2nd Stage,4 BHK,2000.0,4.0,0.0,9888.0
299,Plot,Giri Nagar,3 Bedroom,880.0,3.0,1.0,11536.0
300,Super,Sarjapur  Road,4 BHK,1863.0,3.0,2.0,8569.6
301,Super,Singasandra,2 BHK,1010.0,2.0,1.0,2430.8
302,Super,Kalena Agrahara,3 BHK,1425.0,2.0,1.0,5768.0
303,Super,Vijayanagar,3 BHK,1450.0,3.0,0.0,8240.0
304,Super,Kothanur,3 BHK,1847.0,3.0,2.0,8652.0
305,Super,AECS Layout,2 BHK,1100.0,2.0,3.0,3708.0000000000005
306,Super,Kanakpura Road,1 BHK,525.0,1.0,1.0,2142.4
307,Super,Mallasandra,3 BHK,1665.0,3.0,2.0,7828.000000000001
308,Super,Begur,4 BHK,1664.0,4.0,3.0,5356.0
309,Super,JP Nagar,3 BHK,1850.0,3.0,3.0,12360.0
310,Super,Panathur,2 BHK,1438.0,2.0,3.0,8240.0
311,Super,Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,3.0,9476.0
312,Super,Yelahanka,2 BHK,1350.0,2.0,1.0,4577.32
313,Super,Kanakpura Road,3 BHK,1550.0,3.0,3.0,5520.8
314,Super,Malleshpalya,2 BHK,1140.0,2.0,2.0,3831.6000000000004
315,Plot,Srirampura,5 Bedroom,1200.0,5.0,2.0,14832.000000000002
316,Super,Kodathi,2 BHK,850.0,2.0,2.0,2224.8
317,Super,Whitefield,2 BHK,1280.0,2.0,2.0,6180.0
318,Built-up,Munnekollal,2 BHK,1170.0,2.0,2.0,4284.8
319,Super,Motappa Layout,2 BHK,1113.0,2.0,1.0,4202.400000000001
320,Super,Hennur Road,2 BHK,1385.0,2.0,1.0,6846.616000000001
321,Super,Electronic City,2 BHK,1128.0,2.0,1.0,5356.0
322,Plot,Marathahalli,2 Bedroom,1200.0,2.0,2.0,10547.2
323,Plot,Akshaya Vana,4 Bedroom,1200.0,4.0,3.0,13596.000000000002
324,Super,Rajaji Nagar,3 BHK,2390.0,3.0,2.0,34196.0
325,Plot,Giri Nagar,4 Bedroom,2400.0,4.0,1.0,32960.0
326,Super,Haralur Road,3 BHK,1464.0,3.0,2.0,4614.400000000001
327,Super,Manayata Tech Park,2 BHK,1200.0,2.0,2.0,4532.0
328,Super,Kaval Byrasandra,2 BHK,1200.0,2.0,2.0,4284.8
329,Super,Kaggalipura,3 BHK,1150.0,2.0,1.0,4532.0
330,Built-up,Basavanna Nagar,3 BHK,1645.0,3.0,2.0,7828.000000000001
331,Super,Sarjapur  Road,2 BHK,1000.0,2.0,1.0,5520.8
332,Plot,Haralur Road,4 Bedroom,2650.0,4.0,2.0,16315.2
333,Super,6th Phase JP Nagar,2 BHK,1192.0,2.0,2.0,6097.6
334,Super,Ulsoor,3 BHK,2135.0,3.0,2.0,17716.0
335,Super,Whitefield,2 BHK,1173.0,2.0,1.0,4779.200000000001
336,Built-up,Uttarahalli,2 BHK,1020.0,2.0,2.0,3708.0000000000005
337,Super,Thigalarapalya,4 BHK,3122.0,6.0,2.0,18952.0
338,Super,Somasundara Palya,3 BHK,1600.0,3.0,3.0,5273.6
339,Plot,T.C PALYA,2 Bedroom,1200.0,2.0,0.0,6509.6
340,Carpet,Muneshwara Nagar,2 BHK,1230.0,2.0,3.0,3955.2000000000003
341,Super, Devarachikkanahalli,2 BHK,1250.0,2.0,2.0,3296.0
342,Super,Kalena Agrahara,2 BHK,1325.0,2.0,2.0,6262.400000000001
343,Built-up,7th Phase JP Nagar,3 BHK,1850.0,3.0,1.0,12360.0
344,Super,Kanakpura Road,1 BHK,525.0,2.0,2.0,1774.0720000000001
345,Super,Basaveshwara Nagar,2 BHK,1200.0,2.0,2.0,5356.0
346,Plot,Bull Temple Road,3 Bedroom,1350.0,2.0,0.0,11536.0
347,Super,Bommasandra,3 BHK,1260.0,3.0,1.0,4067.264
348,Super,Prashanth Nagar,3 BHK,1800.0,3.0,0.0,12360.0
350,Built-up,Ardendale,2 BHK,1100.0,2.0,1.0,3563.8
351,Super,Harlur,2 BHK,1508.0,2.0,1.0,6344.8
352,Carpet,Sampigehalli,3 BHK,1592.0,3.0,2.0,6180.0
353,Super,Akshaya Nagar,2 BHK,1388.0,2.0,3.0,4696.8
354,Super,Electronic City Phase II,1 BHK,630.0,1.0,1.0,2336.0400000000004
355,Plot,RMV,3 Bedroom,2000.0,3.0,2.0,30076.000000000004
356,Super,Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,1.0,10300.0
357,Super,Bagalur Main Road,2 BHK,950.0,2.0,2.0,4120.0
358,Super,Kodihalli,4 BHK,3252.0,5.0,3.0,27604.000000000004
359,Super,Magadi Road,2 BHK,1116.0,2.0,1.0,4120.0
360,Super,Narayanapura,2 BHK,1308.0,2.0,2.0,7336.896000000001
361,Super,MS Pallya,3 BHK,1200.0,3.0,0.0,7416.000000000001
362,Plot,Binny Mills Employees Colony,4 Bedroom,1500.0,4.0,2.0,18952.0
363,Built-up,Bannerghatta Road,1 BHK,500.0,1.0,1.0,1524.4
364,Super,Hennur,2 BHK,1075.0,2.0,1.0,4284.8
365,Super,Chandapura,1 BHK,530.0,1.0,0.0,960.7840000000001
366,Built-up,Bellandur,2 BHK,1205.0,2.0,3.0,5438.400000000001
367,Super,5th Phase JP Nagar,2 BHK,1075.0,2.0,2.0,4944.0
368,Built-up,KR Puram,2 BHK,930.0,2.0,2.0,3213.6000000000004
